category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Camera,"₹5,199",Fujifilm Instax Mini9 Wander Lust Series Instant Camera,0,0,19% off,"₹6,465",Instant CameraPolaroidInstaxCompany Warranty,0,2019-08-14 21:17:24.630533
Camera,"₹5,199",Fujifilm Instax Mini9 Wander Lust Series Instant Camera,0,0,19% off,"₹6,465",0,0,2019-08-14 21:17:24.631496
Camera,"₹47,999",Nikon D5600 DSLR Camera Body with Dual Lens: AF-P DX Nikkor 18 - 55 MM F/3.5-5.6G VR and 70-300 MM F/4...,4.6,"3,330 Ratings & 596 Reviews",27% off,"₹66,450",Effective Pixels: 24.2 MPSensor Type: CMOSWiFi Available1080p recording at 30p2 Years Domestic Warranty,1,2019-08-14 21:17:24.631496
Camera,"₹26,999",Nikon D3500 DSLR Camera AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR,4.5,"2,341 Ratings & 410 Reviews",25% off,"₹36,250",Effective Pixels: 24.2 MPSensor Type: CMOS1080p recording at 60p2 Years Warranty,1,2019-08-14 21:17:24.632531
Camera,"₹49,379",Canon EOS 200D DSLR Camera Body with Dual Lens: EF-S18-55 IS STM + EF-S 55-250 IS STM (16 GB SD Card +...,4.6,"4,044 Ratings & 747 Reviews",11% off,"₹55,695",Effective Pixels: 24.2 MPSensor Type: CMOSWiFi Available1080p at 60p + Time-LapseProduct is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.,1,2019-08-14 21:17:24.632531
Camera,"₹36,999",Nikon D3500 DSLR Camera Body with Dual lens: 18-55 mm f/3.5-5.6 G VR and AF-P DX Nikkor 70-300 mm f/4....,4.5,"2,341 Ratings & 410 Reviews",25% off,"₹49,950",WIifi- Eye-Fi compartable. It is useful to transfer the data from Camera to mobile.Effective Pixels: 24.2 MPSensor Type: CMOSWiFi Available1080p recording at 60p2 Years Warranty,1,2019-08-14 21:17:24.634966
Camera,"₹24,249",Canon EOS 1300D DSLR Camera Body with Single Lens: EF-S 18-55 IS II (16 GB SD Card + Carry Case),4.5,"37,478 Ratings & 7,072 Reviews",24% off,"₹31,995","Wi Fi and NFC supported, 9 point AF with 1 centre cross type AF point, 18 megapixel APS-C CMOS sensor & DIGIC 4+Effective Pixels: 18 MPSensor Type: CMOSWiFi Available1080p recording at 30pProduct is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.",1,2019-08-14 21:17:24.636000
Camera,"₹54,999",Canon M50 Mirrorless Camera Single Lens: EF-M18-150mm f/3.5-6.3 IS STM,4.6,239 Ratings & 41 Reviews,32% off,"₹80,999",Effective Pixels: 24.1 MPSensor Type: CMOSWiFi Available1920 x 1080Product is covered under one-year standard warranty and one-year additional warranty from the date of Product purchased by the customer. Warranty validation / Warranty period confirmation would be done through either Online Warranty Serial No. Tracking system (Service Edge) or Warranty Card and Customer Invoice date.,1,2019-08-14 21:17:24.637389
Camera,"₹42,679",Nikon D5300 DSLR Camera Body with Dual Lens: AF-P DX NIKKOR 18 - 55 mm f/3.5 - 5.6G VR + AF-P DX NIKKO...,4.6,"8,880 Ratings & 1,498 Reviews",17% off,"₹51,450",Effective Pixels: 24.2Sensor Type: CMOSWiFi Available1080p recording at 60p2 Years Domestic Warranty,1,2019-08-14 21:17:24.638423
Camera,"₹50,499",Nikon D5600 DSLR Camera Body with Single Lens: AF-S DX Nikkor 18 - 140 MM F/3.5-5.6G ED VR (16 GB SD C...,4.6,"3,330 Ratings & 596 Reviews",17% off,"₹61,250",Effective Pixels: 24.2 MPSensor Type: CMOS1080p recording at 30p2 Years Domestic Warranty,1,2019-08-14 21:17:24.642556
