category,price,description,rating,num_ratings,discount,mrp,is_fassured,timestamp
Desktop PCs,"₹6,199",Electrobot EB31 Full Tower with Core 2 Duo 4 GB RAM 500 GB Hard Disk,3.6,(81),11% off,"₹7,000",1,2019-08-14 11:57:57.799049
Desktop PCs,"₹13,990",Lenovo IdeaCentre 310s (90HX001DIN) Full Tower with Celeron Dual Core (J4005) 4 GB RAM 1 TB Hard Disk,4.4,(59),42% off,"₹24,300",1,2019-08-14 11:57:57.799049
Desktop PCs,"₹19,990",Lenovo - (Celeron Dual Core/4 GB DDR4/1 TB/Free DOS),4.1,(143),21% off,"₹25,526",1,2019-08-14 11:57:57.799049
Desktop PCs,"₹5,999",Punta Assembled CPU Mini Tower with Dual Core 4 GB RAM 500 GB Hard Disk 0.512 GB   Graphics Memory,3.3,(136),62% off,"₹15,999",0,2019-08-14 11:57:57.803041
Desktop PCs,"₹24,990",HP - (Pentium Quad Core/4 GB DDR4/1 TB/Free DOS),3.8,(10),16% off,"₹29,997",1,2019-08-14 11:57:57.803041
Desktop PCs,"₹10,500",Electrobot Tower PC Assembled Computer With Wifi Full Tower with Intel i5-650 4 GB RAM 500 GB Hard Disk,0,0,30% off,"₹15,000",1,2019-08-14 11:57:57.803041
Desktop PCs,"₹59,990",Asus ROG (GL10CS-IN037T) Full Tower with Core i5 (9400) 8 GB RAM 256 GB SSD Capacity 4 GB   Graphics Memory,0,0,25% off,"₹80,990",1,2019-08-14 11:57:57.807038
Desktop PCs,"₹5,699",Punta PPHJGYUH24 Mini Tower with C2D 2 GB RAM 320 GB Hard Disk 0.512 GB   Graphics Memory,3.5,(15),70% off,"₹19,500",0,2019-08-14 11:57:57.808798
Desktop PCs,"₹33,270",Lenovo - (Core i3 (6th Gen)/4 GB DDR4/1 TB/Free DOS),4.4,(140),0,0,1,2019-08-14 11:57:57.809829
Desktop PCs,"₹57,990",Asus - (Core i5 (8th Gen)/8 GB DDR4/1 TB/Windows 10 Home/2 GB),0,0,26% off,"₹78,990",1,2019-08-14 11:57:57.809829
Desktop PCs,"₹64,990",Asus ROG (GL10CS-IN013T) Full Tower with Core i5 (9400) 8 GB RAM 256 GB SSD Capacity 6 GB   Graphics Memory,0,0,25% off,"₹86,990",1,2019-08-14 11:57:57.814060
Desktop PCs,"₹27,990",Lenovo 510S-07ICB (90K800CWIN) Full Tower with Core i3 (8100) 4 GB RAM 1 TB Hard Disk,0,0,19% off,"₹34,690",1,2019-08-14 11:57:57.815584
Desktop PCs,"₹12,099",Assembled HDD/LG DVD W/R /WIFI/SLIM with Intel Core i5-650 Processor 3.20 GHz 4 MB Cache 4 GB RAM 500 GB Hard Disk 2 GB   Graphics Memory,3.2,(374),51% off,"₹24,990",0,2019-08-14 11:57:57.815584
Desktop PCs,"₹9,499",Punta Assembled I5 with I5 4 GB RAM 500 GB Hard Disk 0.512 GB   Graphics Memory,3.3,(22),67% off,"₹29,250",0,2019-08-14 11:57:57.815584
Desktop PCs,"₹6,950",Electrobot Tower PC Full Tower with Core 2 Duo E7500 4 GB RAM 320 GB Hard Disk,0,0,13% off,"₹8,000",1,2019-08-14 11:57:57.819625
Desktop PCs,"₹17,490",HP Slimline 290-a0007il with Celeron J4005 (Gemini Lake) 4 GB RAM 1 TB Hard Disk 1 GB   Graphics Memory,0,0,12% off,"₹20,000",0,2019-08-14 11:57:57.819625
Desktop PCs,"₹6,500",Electrobot EB4DT Full Tower with Core 2 Duo 4 GB RAM 120 GB Hard Disk 120 GB SSD Capacity,0,0,7% off,"₹7,000",1,2019-08-14 11:57:57.819625
Desktop PCs,"₹17,990",HP - (APU Dual Core E2/4 GB DDR4/1 TB/Free DOS),4,(3),31% off,"₹26,228",1,2019-08-14 11:57:57.823611
Desktop PCs,"₹20,999",Electrobot Intel i5 2400 Mid Tower with Intel i5 2400 8 GB RAM 1 TB Hard Disk 2 GB   Graphics Memory,0,0,50% off,"₹42,000",0,2019-08-14 11:57:57.823611
Desktop PCs,"₹27,990",HP - (Pentium Quad Core/4 GB DDR4/1 TB/Windows 10 Home),4.1,(35),19% off,"₹34,937",1,2019-08-14 11:57:57.823611
Desktop PCs,"₹31,999",ZOONIS GAMING 001 Ultra Tower with I5 8 GB RAM 1 TB Hard Disk 240 GB SSD Capacity 2 GB   Graphics Memory,0,0,51% off,"₹65,999",0,2019-08-14 11:57:57.827847
Desktop PCs,"₹20,990",Wintech WING51 Full Tower with Intel core i5-2400 8 GB RAM 1 TB Hard Disk 2 GB   Graphics Memory,0,0,40% off,"₹34,999",0,2019-08-14 11:57:57.828878
Desktop PCs,"₹12,499",ZOONIS ZI5H500 with Intel Core i5 650 4 GB RAM 500 GB Hard Disk,2.9,(9),21% off,"₹15,999",0,2019-08-14 11:57:57.829765
Desktop PCs,"₹7,399",punta PUNTA4575 With WIFI Mini Tower with Core2Duo 4 GB RAM 500 GB Hard Disk .512 GB   Graphics Memory,3.4,(134),57% off,"₹17,299",0,2019-08-14 11:57:57.831178
Desktop PCs,"₹18,999",iBall Mosaic i5/1T/8G Mid Tower with Core i5 8 GB RAM 1 TB Hard Disk 1 GB   Graphics Memory,3.2,(30),47% off,"₹36,495",0,2019-08-14 11:57:57.832208
