category,price,description,rating,num_ratings,discount,mrp,is_fassured,timestamp
Mobile Accessories,₹699,Winkel Back Cover for Samsung Galaxy S9,0,0,53% off,"₹1,499",1,2019-08-14 22:52:13.943562
Mobile Accessories,₹179,Dainty Tempered Glass Guard for Mi Redmi 5,3.6,(17),85% off,"₹1,199",1,2019-08-14 22:52:13.944559
Mobile Accessories,₹199,"Flipkart SmartBuy Edge To Edge Tempered Glass for Mi Redmi Note 7 Pro, Mi Redmi Note 7S, Mi Redmi Note 7",4,"(11,827)",50% off,₹399,1,2019-08-14 22:52:13.944559
Mobile Accessories,₹168,Ambrane ACM-1 1m Micro USB Cable,4.2,"(30,196)",43% off,₹299,1,2019-08-14 22:52:13.945521
Mobile Accessories,₹168,Ambrane ACM-1 1m Micro USB Cable,4.2,"(30,196)",43% off,₹299,1,2019-08-14 22:52:13.945521
Mobile Accessories,₹999,Philips 11000 mAh Power Bank (DLP6006B),4.1,"(2,32,960)",54% off,"₹2,199",1,2019-08-14 22:52:13.946520
Mobile Accessories,₹229,Mi SJV4116IN 1.2m Micro USB Cable,4.3,"(39,225)",23% off,₹299,1,2019-08-14 22:52:13.947518
Mobile Accessories,₹299,Mivi 6ft Nylon Braided Micro Usb Charging Cable Micro USB Cable,4.3,"(23,468)",62% off,₹799,1,2019-08-14 22:52:13.947518
Mobile Accessories,"₹1,499","Philips 20000 mAh Power Bank (DLP1720CV/97, Universal Power Pack)",4.2,"(2,408)",62% off,"₹3,999",1,2019-08-14 22:52:13.948550
Mobile Accessories,₹199,Flipkart SmartBuy Edge To Edge Tempered Glass for Mi Redmi 7A,4.4,(29),50% off,₹399,1,2019-08-14 22:52:13.948550
Mobile Accessories,₹199,"Flipkart SmartBuy Edge To Edge Tempered Glass for Realme 3, Realme 3i",4.2,"(4,058)",50% off,₹399,1,2019-08-14 22:52:13.949546
Mobile Accessories,₹199,Flipkart SmartBuy Edge To Edge Tempered Glass for Asus Zenfone Max Pro M1,3.9,"(24,670)",50% off,₹399,1,2019-08-14 22:52:13.950546
Mobile Accessories,₹99,Flipkart SmartBuy ICFM01 Micro USB Cable,4.3,(252),66% off,₹299,1,2019-08-14 22:52:13.950546
Mobile Accessories,₹599,Golden Sand Back Cover for Samsung Galaxy A70,4.2,(14),50% off,"₹1,199",1,2019-08-14 22:52:13.951544
Mobile Accessories,₹329,Syska WC-2A Mobile Charger,4.1,"(31,103)",34% off,₹499,1,2019-08-14 22:52:13.952538
Mobile Accessories,"₹1,499",Mi 20000 mAh Power Bank (PB20IZM),4.5,(258),25% off,"₹1,999",1,2019-08-14 22:52:13.952538
Mobile Accessories,₹299,boAt Micro USB 500 Black 1.5m Micro USB Cable,4.2,"(12,379)",62% off,₹799,1,2019-08-14 22:52:13.953537
Mobile Accessories,₹295,"Flipkart SmartBuy Back Cover for Mi Redmi Note 7, Mi Redmi Note 7 Pro, Mi Redmi Note 7S",4.3,"(1,874)",57% off,₹699,1,2019-08-14 22:52:13.953537
