category,price,description,rating,num_ratings_reviews,discount,mrp,details,is_fassured,timestamp
Mobile,"₹5,999","Realme C2 (Diamond Black, 16 GB)",4.4,"2,32,717 Ratings & 23,157 Reviews",14% off,"₹6,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB15.49 cm (6.1 inch) HD+ Display13MP + 2MP | 5MP Front Camera4000 mAh BatteryMediaTek P22 Octa Core 2.0 GHz ProcessorDual Nano SIM slots and Memory Card SlotFace UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.021989
Mobile,"₹5,999","Realme C2 (Diamond Blue, 16 GB)",4.4,"2,32,717 Ratings & 23,157 Reviews",14% off,"₹6,999",2 GB RAM | 16 GB ROM | Expandable Upto 256 GB15.49 cm (6.1 inch) HD+ Display13MP + 2MP | 5MP Front Camera4000 mAh BatteryMediaTek P22 Octa Core 2.0 GHz ProcessorDual Nano SIM slots and Memory Card SlotFace UnlockBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.024982
Mobile,"₹6,199","Redmi 7A (Matte Blue, 32 GB)",4.5,"45,633 Ratings & 3,106 Reviews",11% off,"₹6,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP Rear Camera | 5MP Front Camera4000 mAh Li-Polymer BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 2 Years Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.027935
Mobile,₹699,GreenBerry 3310,3.1,7 Ratings & 0 Reviews,53% off,"₹1,499",32 MB RAM | 32 MB ROM |4.57 cm (1.8 inch) NA Display2MP Rear Camera | 0MP Front Camera1000 mAh Battery6 Months,0,2019-08-14 22:38:06.029930
Mobile,"₹11,999","Redmi Note 7S (Onyx Black, 64 GB)",4.4,"49,116 Ratings & 4,044 Reviews",14% off,"₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.031960
Mobile,"₹6,999","Redmi 6 (Black, 64 GB)",4.4,"4,76,850 Ratings & 36,040 Reviews",33% off,"₹10,499",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP + 5MP | 5MP Front Camera3000 mAh Lithium-polymer Battery2.0 GHz Mediatek P22 Octacore ProcessorBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.033955
Mobile,"₹11,999","Redmi Note 7S (Sapphire Blue, 64 GB)",4.4,"49,116 Ratings & 4,044 Reviews",14% off,"₹13,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh BatteryQualcomm Snapdragon 660 AIE ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.034951
Mobile,"₹6,199","Redmi 7A (Matte Black, 32 GB)",4.5,"45,633 Ratings & 3,106 Reviews",11% off,"₹6,999",2 GB RAM | 32 GB ROM | Expandable Upto 256 GB13.84 cm (5.45 inch) HD+ Display12MP Rear Camera | 5MP Front Camera4000 mAh Li-Polymer BatteryQualcomm Snapdragon 439 ProcessorBrand Warranty of 2 Years Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.035914
Mobile,"₹13,999","Redmi Note 7 Pro (Neptune Blue, 64 GB)",4.5,"3,57,589 Ratings & 33,856 Reviews",12% off,"₹15,999",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.037908
Mobile,"₹16,990","Vivo Z1Pro (Sonic Blue, 64 GB)",4.5,"25,350 Ratings & 3,034 Reviews",5% off,"₹17,990",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.59 cm (6.53 inch) FHD+ Display16MP + 8MP + 2MP | 32MP Front Camera5000 mAh BatteryQualcomm Snapdragon 712 AIE Octa Core 2.3GHz ProcessorTriple Card SlotFast ChargingBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.038944
Mobile,"₹16,990","Vivo Z1Pro (Sonic Black, 64 GB)",4.5,"25,350 Ratings & 3,034 Reviews",5% off,"₹17,990",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.59 cm (6.53 inch) FHD+ Display16MP + 8MP + 2MP | 32MP Front Camera5000 mAh BatteryQualcomm Snapdragon 712 AIE Octa Core 2.3GHz ProcessorTriple Card SlotFast ChargingBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.039944
Mobile,"₹14,999","Redmi Note 7 Pro (Neptune Blue, 64 GB)",4.5,"1,04,832 Ratings & 9,386 Reviews",11% off,"₹16,999",6 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.0 cm (6.3 inch) FHD+ Display48MP + 5MP | 13MP Front Camera4000 mAh Li-polymer BatteryQualcomm Snapdragon 675 ProcessorSplash Proof - Protected by P2iQuick Charge 4.0 SupportBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,1,2019-08-14 22:38:06.040938
